_id,case_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
69ca8ebf82d567a0f78eb31b,EZYV30,Asia,Bachelor's,Y,N,758,2009,Northeast,189190.48,Year,Y,Certified
69ca8ebf82d567a0f78eb31c,EZYV31,Asia,Master's,Y,N,1408,1998,Midwest,79594.12,Year,N,Certified
69ca8ebf82d567a0f78eb31d,EZYV32,Asia,Doctorate,Y,N,995,1880,South,135866.13,Year,N,Certified
69ca8ebf82d567a0f78eb31e,EZYV33,Asia,Bachelor's,N,N,2415,1963,Midwest,72077.57,Year,N,Certified
69ca8ebf82d567a0f78eb31f,EZYV34,Asia,High School,N,N,2395,2000,South,81921.18,Year,Y,Certified
69ca8ebf82d567a0f78eb320,EZYV35,Asia,Master's,N,N,1809,2010,South,225569.73,Year,N,Certified
69ca8ebf82d567a0f78eb321,EZYV36,Asia,High School,Y,N,5512,2001,Northeast,92421.92,Year,Y,Denied
69ca8ebf82d567a0f78eb322,EZYV37,Europe,High School,Y,N,2520,1981,West,2490.12,Year,Y,Denied
69ca8ebf82d567a0f78eb323,EZYV38,Europe,Master's,Y,Y,44,1965,South,110817.26,Year,Y,Certified
69ca8ebf82d567a0f78eb324,EZYV39,Asia,Bachelor's,Y,Y,2206,1909,Northeast,50960.01,Year,Y,Certified
69ca8ebf82d567a0f78eb325,EZYV40,Asia,Master's,N,N,3729,2007,Midwest,125336.9,Year,Y,Certified
69ca8ebf82d567a0f78eb326,EZYV41,Asia,Bachelor's,Y,N,3723,2011,West,39633.32,Year,Y,Certified
69ca8ebf82d567a0f78eb327,EZYV42,Asia,Master's,Y,N,1209,1989,Northeast,156326.33,Year,N,Certified
69ca8ebf82d567a0f78eb328,EZYV43,Europe,Doctorate,Y,N,19770,2005,West,43630.58,Year,Y,Certified
69ca8ebf82d567a0f78eb329,EZYV44,North America,Master's,Y,N,2582,1989,South,54614.42,Year,Y,Certified
69ca8ebf82d567a0f78eb32a,EZYV45,Asia,High School,Y,N,5407,1998,West,28989.87,Year,Y,Denied
69ca8ebf82d567a0f78eb32b,EZYV46,Europe,Bachelor's,N,Y,2092,1998,South,22924.91,Year,Y,Certified
69ca8ebf82d567a0f78eb32c,EZYV47,Asia,Bachelor's,Y,N,2623,2008,South,61567.75,Year,Y,Certified
69ca8ebf82d567a0f78eb32d,EZYV48,Asia,High School,Y,N,226,1991,Midwest,156251.17,Year,Y,Certified
69ca8ebf82d567a0f78eb32e,EZYV49,Asia,Bachelor's,Y,N,2405,1933,South,86022.02,Year,Y,Certified
69ca8ebf82d567a0f78eb32f,EZYV50,Asia,Doctorate,N,Y,2171,1960,Northeast,49565.37,Year,Y,Denied
69ca8ebf82d567a0f78eb330,EZYV51,Asia,Bachelor's,N,N,746,1991,Midwest,66191.41,Year,Y,Certified
69ca8ebf82d567a0f78eb331,EZYV52,Asia,Master's,Y,N,3129,2003,Midwest,95623.2,Year,N,Certified
69ca8ebf82d567a0f78eb332,EZYV53,Asia,Bachelor's,N,N,1647,1998,Midwest,115014.05,Year,Y,Certified
69ca8ebf82d567a0f78eb333,EZYV54,Asia,High School,Y,N,2438,1976,Midwest,35018.04,Year,Y,Certified
69ca8ebf82d567a0f78eb334,EZYV55,Asia,Master's,Y,N,11733,1995,Northeast,230.8072,Hour,Y,Certified
69ca8ebf82d567a0f78eb335,EZYV56,Asia,Master's,Y,N,2368,1998,Northeast,113799.64,Year,Y,Certified
69ca8ebf82d567a0f78eb336,EZYV57,Europe,Bachelor's,Y,Y,779,1994,West,85854.09,Year,Y,Certified
69ca8ebf82d567a0f78eb337,EZYV58,Asia,Bachelor's,Y,N,2825,1996,Northeast,14174.04,Year,Y,Certified
69ca8ebf82d567a0f78eb338,EZYV59,Europe,Bachelor's,N,N,3510,2007,West,47176.84,Year,Y,Certified
69ca8ebf82d567a0f78eb339,EZYV60,Asia,Doctorate,N,N,2624,2012,Midwest,4949.28,Year,Y,Certified
69ca8ebf82d567a0f78eb33a,EZYV61,Asia,Master's,N,Y,5340,2010,West,67410.59,Year,Y,Denied
69ca8ebf82d567a0f78eb33b,EZYV62,Europe,Doctorate,Y,Y,2311,1994,Midwest,58791.58,Year,Y,Certified
69ca8ebf82d567a0f78eb33c,EZYV63,Asia,High School,N,N,5110,2004,West,103.2216,Hour,Y,Denied
69ca8ebf82d567a0f78eb33d,EZYV64,Europe,Bachelor's,Y,N,1316,1995,South,62591.57,Year,Y,Certified
69ca8ebf82d567a0f78eb33e,EZYV65,Asia,Master's,N,N,100,2001,Northeast,102919.59,Year,Y,Denied
69ca8ebf82d567a0f78eb33f,EZYV66,Asia,Master's,Y,N,2021,2007,Midwest,123468.56,Year,Y,Certified
69ca8ebf82d567a0f78eb340,EZYV67,North America,Bachelor's,N,N,80,1968,West,82324.64,Year,N,Denied
69ca8ebf82d567a0f78eb341,EZYV68,Europe,Doctorate,Y,N,2070,1847,West,5319.49,Year,Y,Certified
69ca8ebf82d567a0f78eb342,EZYV69,Asia,Bachelor's,Y,Y,2654,2013,Midwest,153019.94,Year,Y,Certified
69ca8ebf82d567a0f78eb343,EZYV70,Asia,Master's,Y,N,292,2005,South,38059.89,Year,Y,Certified
69ca8ebf82d567a0f78eb344,EZYV71,Asia,High School,Y,N,1320,2001,Northeast,230.327,Hour,Y,Denied
69ca8ebf82d567a0f78eb345,EZYV72,Asia,High School,Y,N,1722,2007,South,61521.92,Year,Y,Certified
69ca8ebf82d567a0f78eb346,EZYV73,Europe,Bachelor's,Y,N,3339,1935,Northeast,121316.5,Year,Y,Denied
69ca8ebf82d567a0f78eb347,EZYV74,Asia,Master's,Y,N,452,1890,South,122540.55,Year,Y,Certified
69ca8ebf82d567a0f78eb348,EZYV75,Africa,Master's,Y,N,3705,2001,South,47170.76,Year,Y,Certified
69ca8ebf82d567a0f78eb349,EZYV76,North America,Bachelor's,N,N,85,1999,Northeast,330.3743,Hour,Y,Denied
69ca8ebf82d567a0f78eb34a,EZYV77,Europe,Bachelor's,Y,N,2423,1838,West,2927.34,Year,Y,Certified
69ca8ebf82d567a0f78eb34b,EZYV78,Asia,Bachelor's,Y,N,1274,1999,South,107781.48,Year,Y,Certified
69ca8ebf82d567a0f78eb34c,EZYV79,North America,Master's,N,N,1549,2001,South,590.0203,Hour,Y,Certified
69ca8ebf82d567a0f78eb34d,EZYV80,Asia,High School,N,Y,1062,1998,West,194176.83,Year,Y,Denied
69ca8ebf82d567a0f78eb34e,EZYV81,Asia,Bachelor's,Y,N,32619,1947,South,102073.81,Year,Y,Certified
69ca8ebf82d567a0f78eb34f,EZYV82,Asia,Master's,Y,N,4036,2001,South,113882.38,Year,Y,Certified
69ca8ebf82d567a0f78eb350,EZYV83,Asia,High School,Y,N,39,2000,West,70778.82,Year,Y,Denied
69ca8ebf82d567a0f78eb351,EZYV84,Asia,Bachelor's,Y,N,2359,2007,Northeast,84125.48,Year,Y,Certified
69ca8ebf82d567a0f78eb352,EZYV85,Asia,Master's,Y,Y,1023,2002,South,174014.59,Year,Y,Certified
69ca8ebf82d567a0f78eb353,EZYV86,Asia,Master's,Y,N,2480,1981,Northeast,34213.17,Year,Y,Certified
69ca8ebf82d567a0f78eb354,EZYV87,Asia,High School,N,N,1255,1989,Northeast,79813.05,Year,N,Denied
69ca8ebf82d567a0f78eb355,EZYV88,Asia,High School,Y,N,4455,1998,West,113327.34,Year,Y,Denied
69ca8ebf82d567a0f78eb356,EZYV89,Asia,Bachelor's,N,N,2543,1939,Northeast,78893.64,Year,Y,Denied
69ca8ebf82d567a0f78eb357,EZYV90,Asia,Bachelor's,Y,N,1359,2008,West,140290.16,Year,Y,Certified
69ca8ebf82d567a0f78eb358,EZYV91,Asia,High School,Y,Y,2324,2006,Northeast,111926.01,Year,Y,Denied
69ca8ebf82d567a0f78eb359,EZYV92,North America,Bachelor's,N,N,4103,2004,Northeast,125880.21,Year,Y,Denied
69ca8ebf82d567a0f78eb35a,EZYV93,Asia,Bachelor's,N,N,3667,1970,Northeast,527.8901,Hour,Y,Denied
69ca8ebf82d567a0f78eb35b,EZYV94,Asia,High School,N,N,488,2010,Midwest,49357.95,Year,Y,Certified
69ca8ebf82d567a0f78eb35c,EZYV95,North America,Bachelor's,Y,N,2724,1998,South,69335.2,Year,Y,Certified
69ca8ebf82d567a0f78eb35d,EZYV96,Asia,Master's,N,N,1392,2001,South,99737.18,Year,N,Certified
69ca8ebf82d567a0f78eb35e,EZYV97,North America,Bachelor's,Y,N,2573,1977,Northeast,91449.62,Year,Y,Denied
69ca8ebf82d567a0f78eb35f,EZYV98,North America,Bachelor's,Y,N,3524,1982,Midwest,34494.86,Year,Y,Certified
69ca8ebf82d567a0f78eb360,EZYV99,Asia,High School,N,N,1847,1977,Northeast,395.995,Hour,Y,Denied
69ca8ebf82d567a0f78eb361,EZYV100,Asia,Master's,N,N,107535,1970,West,159645.51,Year,Y,Denied
69ca8ebf82d567a0f78eb362,EZYV101,Asia,Master's,Y,N,2227,2007,Northeast,28243.79,Year,Y,Certified
69ca8ebf82d567a0f78eb363,EZYV102,Asia,Master's,Y,N,334,2007,Midwest,43421.88,Year,Y,Certified
69ca8ebf82d567a0f78eb364,EZYV103,Asia,Bachelor's,Y,N,224,2008,Midwest,80253.78,Year,Y,Certified
69ca8ebf82d567a0f78eb365,EZYV104,Asia,Doctorate,Y,N,367,1982,West,115235.95,Year,Y,Certified
69ca8ebf82d567a0f78eb366,EZYV105,Asia,Master's,Y,N,306,2003,Northeast,95200.86,Year,N,Certified
69ca8ebf82d567a0f78eb367,EZYV106,North America,Doctorate,Y,N,2317,1995,Island,41613.52,Year,Y,Certified
69ca8ebf82d567a0f78eb368,EZYV107,Asia,Bachelor's,N,N,890,1981,West,64137.41,Year,Y,Denied
69ca8ebf82d567a0f78eb369,EZYV108,Asia,Bachelor's,Y,N,2002,2006,South,66295.43,Year,Y,Certified
69ca8ebf82d567a0f78eb36a,EZYV109,Asia,Bachelor's,N,N,2903,1943,Midwest,97520.02,Year,Y,Certified
69ca8ebf82d567a0f78eb36b,EZYV110,Asia,Bachelor's,Y,N,2504,2001,West,65164.57,Year,Y,Certified
69ca8ebf82d567a0f78eb36c,EZYV111,North America,High School,Y,N,951,1956,Midwest,73957.17,Year,N,Certified
69ca8ebf82d567a0f78eb36d,EZYV112,Asia,Master's,Y,N,1327,1864,West,71415.43,Year,Y,Certified
69ca8ebf82d567a0f78eb36e,EZYV113,Asia,Bachelor's,Y,N,2421,1974,South,87336.53,Year,Y,Certified
69ca8ebf82d567a0f78eb36f,EZYV114,North America,High School,Y,N,1019,2005,South,98966.72,Week,Y,Certified
69ca8ebf82d567a0f78eb370,EZYV115,Asia,Doctorate,N,N,1048,1985,Midwest,83503.6,Year,Y,Certified
69ca8ebf82d567a0f78eb371,EZYV116,Asia,Master's,N,N,3323,2005,Midwest,57590.66,Year,Y,Certified
69ca8ebf82d567a0f78eb372,EZYV117,Asia,Bachelor's,Y,N,509,1997,South,32400.2,Week,Y,Certified
69ca8ebf82d567a0f78eb373,EZYV118,North America,Master's,Y,Y,2225,1976,Northeast,65993.21,Year,Y,Certified
69ca8ebf82d567a0f78eb374,EZYV119,Asia,Bachelor's,Y,N,1641,1984,Midwest,32161.6,Year,Y,Certified
69ca8ebf82d567a0f78eb375,EZYV120,Asia,Master's,N,N,1144,2001,Northeast,16421.37,Year,Y,Denied
69ca8ebf82d567a0f78eb376,EZYV121,North America,Master's,N,N,2334,1971,South,160676.39,Year,N,Certified
69ca8ebf82d567a0f78eb377,EZYV122,South America,Bachelor's,N,N,1415,1913,Northeast,53114.02,Year,Y,Denied
69ca8ebf82d567a0f78eb378,EZYV123,Asia,Doctorate,Y,Y,2754,1997,South,19176.21,Year,Y,Certified
69ca8ebf82d567a0f78eb379,EZYV124,North America,Master's,N,N,1099,2005,West,204832.52,Year,N,Denied
69ca8ebf82d567a0f78eb37a,EZYV125,Asia,Master's,Y,N,960,2012,Northeast,40256.03,Year,Y,Certified
69ca8ebf82d567a0f78eb37b,EZYV126,North America,Master's,Y,N,2750,1997,West,38841.44,Year,Y,Certified
69ca8ebf82d567a0f78eb37c,EZYV127,Asia,High School,Y,N,2753,2010,Northeast,133052.84,Year,Y,Denied
69ca8ebf82d567a0f78eb37d,EZYV128,North America,Bachelor's,Y,N,23287,2007,South,75234.64,Year,N,Certified
69ca8ebf82d567a0f78eb37e,EZYV129,Asia,Bachelor's,N,N,2140,1997,South,37032.83,Year,Y,Certified
69ca8ebf82d567a0f78eb37f,EZYV130,Asia,Bachelor's,N,N,4499,2008,Northeast,61617.73,Year,Y,Denied
69ca8ebf82d567a0f78eb380,EZYV131,South America,High School,N,N,2554,2005,Midwest,247393.01,Year,Y,Certified
69ca8ebf82d567a0f78eb381,EZYV132,Asia,Bachelor's,Y,N,1333,1969,Northeast,341.0229,Hour,Y,Certified
69ca8ebf82d567a0f78eb382,EZYV133,Asia,Doctorate,N,N,928,1818,South,30570.95,Year,Y,Certified
69ca8ebf82d567a0f78eb383,EZYV134,Asia,Doctorate,Y,N,4289,2005,Midwest,19477.1,Year,Y,Certified
69ca8ebf82d567a0f78eb384,EZYV135,Asia,Doctorate,Y,Y,113282,2011,Midwest,164893.0,Year,Y,Certified
69ca8ebf82d567a0f78eb385,EZYV136,Asia,Master's,Y,N,1948,2002,South,131584.5,Year,Y,Certified
69ca8ebf82d567a0f78eb386,EZYV137,Asia,Master's,Y,N,1933,1839,Northeast,63896.35,Year,Y,Certified
69ca8ebf82d567a0f78eb387,EZYV138,Asia,Master's,N,N,2847,2013,Midwest,77883.22,Year,Y,Certified
69ca8ebf82d567a0f78eb388,EZYV139,Asia,Bachelor's,Y,N,1195,1914,Midwest,108519.14,Year,Y,Certified
69ca8ebf82d567a0f78eb389,EZYV140,Asia,Master's,Y,N,54,1988,South,47002.53,Year,N,Certified
69ca8ebf82d567a0f78eb38a,EZYV141,Asia,Master's,N,N,4390,1944,South,88720.29,Year,N,Certified
69ca8ebf82d567a0f78eb38b,EZYV142,Asia,Master's,Y,N,73909,2004,Midwest,60821.75,Year,Y,Certified
69ca8ebf82d567a0f78eb38c,EZYV143,Asia,Master's,N,Y,545,1855,South,66324.69,Year,Y,Certified
69ca8ebf82d567a0f78eb38d,EZYV144,Asia,Doctorate,Y,N,2831,1977,South,100398.58,Year,Y,Certified
69ca8ebf82d567a0f78eb38e,EZYV145,Asia,Bachelor's,N,Y,1634,1999,South,51282.75,Year,Y,Certified
69ca8ebf82d567a0f78eb38f,EZYV146,Europe,Bachelor's,Y,N,1810,1943,South,13322.72,Year,Y,Certified
69ca8ebf82d567a0f78eb390,EZYV147,Europe,Bachelor's,Y,N,3290,2005,Northeast,357.8194,Hour,Y,Certified
69ca8ebf82d567a0f78eb391,EZYV148,Asia,Master's,Y,N,472,2004,West,4787.43,Year,Y,Certified
69ca8ebf82d567a0f78eb392,EZYV149,Asia,Bachelor's,Y,N,4273,1884,Midwest,149023.92,Year,Y,Certified
69ca8ebf82d567a0f78eb393,EZYV150,Asia,Master's,N,N,2326,1933,West,123739.41,Year,Y,Denied
69ca8ebf82d567a0f78eb394,EZYV151,Asia,Bachelor's,N,N,50351,1975,West,529.1105,Hour,Y,Denied
69ca8ebf82d567a0f78eb395,EZYV152,Europe,Master's,Y,N,2261,1966,Midwest,68933.4,Year,Y,Certified
69ca8ebf82d567a0f78eb396,EZYV153,Asia,High School,Y,N,255,2003,Northeast,412.3476,Hour,Y,Denied
69ca8ebf82d567a0f78eb397,EZYV154,Asia,Master's,Y,N,373,2009,South,128931.59,Year,N,Certified
69ca8ebf82d567a0f78eb398,EZYV155,Europe,High School,Y,Y,22,1999,Midwest,37751.51,Year,Y,Certified
69ca8ebf82d567a0f78eb399,EZYV156,Asia,Doctorate,Y,Y,3102,2001,West,81781.43,Year,Y,Certified
69ca8ebf82d567a0f78eb39a,EZYV157,Asia,Master's,Y,N,5147,1997,Northeast,6256.18,Year,Y,Certified
69ca8ebf82d567a0f78eb39b,EZYV158,Asia,Doctorate,Y,N,284,2007,Northeast,44539.97,Year,Y,Certified
69ca8ebf82d567a0f78eb39c,EZYV159,North America,Master's,Y,N,1926,1801,West,104281.71,Year,Y,Certified
69ca8ebf82d567a0f78eb39d,EZYV160,Asia,High School,Y,N,2510,1920,Midwest,125323.7,Year,Y,Certified
69ca8ebf82d567a0f78eb39e,EZYV161,Europe,Doctorate,Y,Y,1200,2013,Midwest,81816.46,Year,Y,Certified
69ca8ebf82d567a0f78eb39f,EZYV162,Europe,Bachelor's,Y,N,337,2004,West,4027.85,Year,Y,Certified
69ca8ebf82d567a0f78eb3a0,EZYV163,North America,Doctorate,Y,N,2880,1925,South,56117.39,Year,N,Certified
69ca8ebf82d567a0f78eb3a1,EZYV164,Asia,Bachelor's,Y,N,816,1947,South,113212.16,Year,Y,Certified
69ca8ebf82d567a0f78eb3a2,EZYV165,Asia,Master's,Y,N,2640,2009,West,47095.57,Year,Y,Certified
69ca8ebf82d567a0f78eb3a3,EZYV166,Asia,Master's,Y,N,4190,2006,South,123437.12,Year,N,Certified
69ca8ebf82d567a0f78eb3a4,EZYV167,Asia,Bachelor's,Y,N,459,1998,Northeast,65894.51,Year,Y,Certified
69ca8ebf82d567a0f78eb3a5,EZYV168,Asia,High School,Y,N,3351,1993,Northeast,174333.19,Year,Y,Denied
69ca8ebf82d567a0f78eb3a6,EZYV169,Asia,Bachelor's,N,N,3639,1988,Northeast,192.157,Hour,Y,Denied
69ca8ebf82d567a0f78eb3a7,EZYV170,Asia,Master's,N,N,373,1992,West,71825.63,Week,Y,Denied
69ca8ebf82d567a0f78eb3a8,EZYV171,Europe,Bachelor's,N,N,201,1982,South,50362.77,Year,Y,Certified
69ca8ebf82d567a0f78eb3a9,EZYV172,South America,Bachelor's,Y,N,5461,1979,Northeast,9078.62,Year,Y,Certified
69ca8ebf82d567a0f78eb3aa,EZYV173,Asia,Master's,Y,N,3050,1993,Northeast,10341.89,Year,Y,Certified
69ca8ebf82d567a0f78eb3ab,EZYV174,Asia,Bachelor's,Y,N,28592,1997,West,61740.3,Year,Y,Certified
69ca8ebf82d567a0f78eb3ac,EZYV175,Europe,Bachelor's,Y,N,3207,1995,Midwest,61031.95,Year,Y,Certified
69ca8ebf82d567a0f78eb3ad,EZYV176,Asia,Doctorate,Y,N,5820,1998,South,31986.79,Year,Y,Certified
69ca8ebf82d567a0f78eb3ae,EZYV177,North America,Bachelor's,Y,Y,3229,1999,South,93384.38,Year,Y,Certified
69ca8ebf82d567a0f78eb3af,EZYV178,Asia,Bachelor's,Y,N,2708,2010,Northeast,109921.68,Year,Y,Certified
69ca8ebf82d567a0f78eb3b0,EZYV179,Asia,Doctorate,N,Y,2779,2002,Midwest,122535.0,Year,Y,Certified
69ca8ebf82d567a0f78eb3b1,EZYV180,Asia,High School,Y,N,977,1986,Northeast,105898.54,Year,Y,Denied
69ca8ebf82d567a0f78eb3b2,EZYV181,Europe,Bachelor's,Y,Y,44069,2006,West,134350.49,Year,Y,Certified
69ca8ebf82d567a0f78eb3b3,EZYV182,Europe,Bachelor's,Y,N,1566,1931,South,126498.81,Year,Y,Certified
69ca8ebf82d567a0f78eb3b4,EZYV183,Europe,Master's,N,Y,4439,1962,South,113366.37,Year,Y,Certified
69ca8ebf82d567a0f78eb3b5,EZYV184,Asia,Master's,N,N,1929,2001,Midwest,100401.52,Year,Y,Certified
69ca8ebf82d567a0f78eb3b6,EZYV185,Asia,Bachelor's,N,N,654,1954,Northeast,128173.92,Year,Y,Denied
69ca8ebf82d567a0f78eb3b7,EZYV186,Asia,High School,Y,Y,557,2010,Northeast,313.835,Hour,Y,Denied
69ca8ebf82d567a0f78eb3b8,EZYV187,Asia,Bachelor's,N,N,421,2005,Midwest,88809.74,Year,Y,Certified
69ca8ebf82d567a0f78eb3b9,EZYV188,Europe,High School,Y,N,600,2009,Northeast,138032.0,Year,Y,Denied
69ca8ebf82d567a0f78eb3ba,EZYV189,South America,Master's,Y,N,1551,1989,West,630.66,Year,Y,Certified
69ca8ebf82d567a0f78eb3bb,EZYV190,Europe,Doctorate,Y,N,2540,2003,Midwest,29469.17,Year,Y,Certified
69ca8ebf82d567a0f78eb3bc,EZYV191,Asia,Bachelor's,Y,N,961,2007,West,123688.79,Year,Y,Certified
69ca8ebf82d567a0f78eb3bd,EZYV192,Asia,Doctorate,Y,N,3726,1884,Northeast,111179.86,Year,N,Certified
69ca8ebf82d567a0f78eb3be,EZYV193,North America,Master's,Y,N,4045,1987,West,102909.59,Year,N,Certified
69ca8ebf82d567a0f78eb3bf,EZYV194,Asia,Master's,Y,N,128431,1991,West,128850.75,Year,Y,Certified
69ca8ebf82d567a0f78eb3c0,EZYV195,Africa,Master's,Y,N,2180,1992,Midwest,113637.4,Year,Y,Certified
69ca8ebf82d567a0f78eb3c1,EZYV196,Asia,Bachelor's,N,N,872,1991,Northeast,179675.58,Year,Y,Denied
69ca8ebf82d567a0f78eb3c2,EZYV197,Europe,Master's,N,N,2689,1998,South,15814.94,Year,Y,Certified
69ca8ebf82d567a0f78eb3c3,EZYV198,Europe,Master's,N,Y,2752,2006,South,21511.58,Year,Y,Certified
69ca8ebf82d567a0f78eb3c4,EZYV199,Asia,Master's,N,N,1375,1976,South,94252.62,Year,N,Certified
69ca8ebf82d567a0f78eb3c5,EZYV200,Europe,Master's,Y,N,7320,1868,Northeast,89207.07,Year,Y,Certified
69ca8ebf82d567a0f78eb3c6,EZYV201,Asia,Doctorate,Y,N,3282,1979,West,74441.11,Year,Y,Certified
69ca8ebf82d567a0f78eb3c7,EZYV202,Asia,Bachelor's,Y,N,1313,2002,West,99469.71,Year,Y,Certified
69ca8ebf82d567a0f78eb3c8,EZYV203,Asia,Bachelor's,Y,N,3128,1999,West,31890.66,Year,Y,Certified
69ca8ebf82d567a0f78eb3c9,EZYV204,Asia,Master's,N,N,4757,1981,Midwest,167376.13,Year,Y,Certified
69ca8ebf82d567a0f78eb3ca,EZYV205,Asia,High School,Y,N,2122,1859,Midwest,130404.72,Year,Y,Certified
69ca8ebf82d567a0f78eb3cb,EZYV206,Asia,High School,Y,N,2524,1946,West,84130.53,Year,Y,Denied
69ca8ebf82d567a0f78eb3cc,EZYV207,Europe,Doctorate,Y,N,766,1950,Midwest,89079.05,Year,Y,Certified
69ca8ebf82d567a0f78eb3cd,EZYV208,Asia,High School,N,N,1190,2003,South,82464.74,Year,Y,Certified
69ca8ebf82d567a0f78eb3ce,EZYV209,North America,High School,N,N,2741,2005,Northeast,158.3807,Hour,Y,Denied
69ca8ebf82d567a0f78eb3cf,EZYV210,Asia,Master's,N,N,3233,2012,South,62640.94,Year,N,Certified
69ca8ebf82d567a0f78eb3d0,EZYV211,Asia,Master's,Y,N,2696,1966,Island,116642.18,Year,N,Certified
69ca8ebf82d567a0f78eb3d1,EZYV212,Asia,Master's,Y,N,3980,1869,South,53767.37,Year,Y,Certified
69ca8ebf82d567a0f78eb3d2,EZYV213,Asia,Doctorate,N,Y,111,2008,Northeast,115777.03,Year,Y,Denied
69ca8ebf82d567a0f78eb3d3,EZYV214,North America,Master's,N,N,5396,1963,South,101399.51,Year,N,Certified
69ca8ebf82d567a0f78eb3d4,EZYV215,Asia,Bachelor's,N,N,2778,2000,Northeast,146374.48,Year,Y,Denied
69ca8ebf82d567a0f78eb3d5,EZYV216,Europe,Bachelor's,N,Y,789,1925,Midwest,21282.82,Year,Y,Certified
69ca8ebf82d567a0f78eb3d6,EZYV217,Asia,Master's,Y,N,1515,2001,Midwest,269321.68,Year,N,Certified
69ca8ebf82d567a0f78eb3d7,EZYV218,North America,Bachelor's,Y,N,26891,1917,Northeast,52114.54,Year,Y,Denied
69ca8ebf82d567a0f78eb3d8,EZYV219,Europe,Bachelor's,N,N,1867,1933,Northeast,2390.74,Year,Y,Certified
69ca8ebf82d567a0f78eb3d9,EZYV220,Europe,Master's,Y,N,3395,2008,South,73623.94,Year,Y,Certified
